,x,y,timestamp,gaze_point_validity, left_x,left_y,left_z,right_x,right_y,right_z,timestamp_gaze_origin,left_validity,right_validity,head_pos_x,head_pos_y,head_pos_z,head_rot_x,head_rot_y,head_rot_z,head_timestamp,head_validity
0,2292.0,1525.0,19846928384.0,1.0,-3.0561110973358154,74.43275451660156,570.2218017578125,59.15610122680664,71.9588623046875,568.292724609375,19846928384.0,1.0,1.0,12.23870849609375,85.03550720214844,721.4762573242188,0.19372528791427607,0.14356467127799988,-0.08800484985113144,19630047232.0,1.0
1,1920.0,1125.0,19849060352.0,1.0,-3.543825149536133,74.96868896484375,571.3817749023438,59.10124969482422,69.640869140625,570.4708862304688,19849060352.0,1.0,1.0,12.23870849609375,85.03550720214844,721.4762573242188,0.19372528791427607,0.14356467127799988,-0.08800484985113144,19630047232.0,1.0
2,1920.0,1125.0,19849060352.0,1.0,-3.543825149536133,74.96868896484375,571.3817749023438,59.10124969482422,69.640869140625,570.4708862304688,19849060352.0,1.0,1.0,14.353569030761719,86.58714294433594,719.834228515625,0.29084888100624084,0.10747458040714264,-0.18727548420429227,19633645568.0,1.0
3,1914.0,1124.0,19849072640.0,1.0,-3.5829017162323,75.03230285644531,571.2838745117188,59.064002990722656,69.76187133789062,570.3558959960938,19849072640.0,1.0,1.0,14.353569030761719,86.58714294433594,719.834228515625,0.29084888100624084,0.10747458040714264,-0.18727548420429227,19633645568.0,1.0
4,1901.0,1130.0,19849082880.0,1.0,-3.617881774902344,75.09747314453125,571.155517578125,59.02731323242188,69.89524841308594,570.2164916992188,19849082880.0,1.0,1.0,14.353569030761719,86.58714294433594,719.834228515625,0.29084888100624084,0.10747458040714264,-0.18727548420429227,19633645568.0,1.0
5,1886.0,1141.0,19849095168.0,1.0,-3.649985074996948,75.1715087890625,571.037109375,59.0008659362793,70.037353515625,570.0909423828125,19849095168.0,1.0,1.0,14.353569030761719,86.58714294433594,719.834228515625,0.29084888100624084,0.10747458040714264,-0.18727548420429227,19633645568.0,1.0
6,1886.0,1141.0,19849095168.0,1.0,-3.649985074996948,75.1715087890625,571.037109375,59.0008659362793,70.037353515625,570.0909423828125,19849095168.0,1.0,1.0,14.411537170410156,86.67256164550781,719.0895385742188,0.29200834035873413,0.11153439432382584,-0.1864905059337616,19633680384.0,1.0
7,1739.0,1215.0,19849105408.0,1.0,-3.665925264358521,75.21232604980467,570.9630126953125,58.98299026489258,70.22085571289062,569.997314453125,19849105408.0,1.0,1.0,14.411537170410156,86.67256164550781,719.0895385742188,0.29200834035873413,0.11153439432382584,-0.1864905059337616,19633680384.0,1.0
8,1739.0,1215.0,19849115648.0,0.0,-3.681853055953979,75.2564697265625,570.9107055664064,58.97494888305664,70.31416320800781,569.949951171875,19849115648.0,1.0,1.0,14.411537170410156,86.67256164550781,719.0895385742188,0.29200834035873413,0.11153439432382584,-0.1864905059337616,19633680384.0,1.0
9,1739.0,1215.0,19849115648.0,0.0,-3.681853055953979,75.2564697265625,570.9107055664064,58.97494888305664,70.31416320800781,569.949951171875,19849115648.0,1.0,1.0,14.1689453125,87.10646057128906,719.2015991210938,0.3109803795814514,0.09080982208251952,-0.18097846210002896,19633713152.0,1.0
10,1739.0,1215.0,19849127936.0,0.0,-3.6947288513183594,75.28735351562499,570.8844604492188,58.973247528076165,70.40493774414062,569.9374389648438,19849127936.0,1.0,1.0,14.1689453125,87.10646057128906,719.2015991210938,0.3109803795814514,0.09080982208251952,-0.18097846210002896,19633713152.0,1.0
11,1739.0,1215.0,19849138176.0,0.0,-3.709184646606445,75.32659912109375,570.8859252929688,58.97566986083984,70.50021362304688,569.943115234375,19849138176.0,1.0,1.0,14.1689453125,87.10646057128906,719.2015991210938,0.3109803795814514,0.09080982208251952,-0.18097846210002896,19633713152.0,1.0
12,1739.0,1215.0,19849150464.0,0.0,-3.709184646606445,75.32659912109375,570.8859252929688,58.97632598876953,70.64276123046875,569.9615478515625,19849150464.0,0.0,1.0,14.1689453125,87.10646057128906,719.2015991210938,0.3109803795814514,0.09080982208251952,-0.18097846210002896,19633713152.0,1.0
13,1739.0,1215.0,19849150464.0,0.0,-3.709184646606445,75.32659912109375,570.8859252929688,58.97632598876953,70.64276123046875,569.9615478515625,19849150464.0,0.0,1.0,13.866554260253906,89.5003204345703,724.8209838867188,0.3217950165271759,0.09968341886997224,-0.1804071813821793,19633745920.0,1.0
14,1739.0,1215.0,19849160704.0,0.0,-3.709184646606445,75.32659912109375,570.8859252929688,58.97632598876953,70.64276123046875,569.9615478515625,19849160704.0,0.0,0.0,13.866554260253906,89.5003204345703,724.8209838867188,0.3217950165271759,0.09968341886997224,-0.1804071813821793,19633745920.0,1.0
15,1739.0,1215.0,19849172992.0,0.0,-3.709184646606445,75.32659912109375,570.8859252929688,58.97632598876953,70.64276123046875,569.9615478515625,19849172992.0,0.0,0.0,13.866554260253906,89.5003204345703,724.8209838867188,0.3217950165271759,0.09968341886997224,-0.1804071813821793,19633745920.0,1.0
16,1739.0,1215.0,19849183232.0,0.0,-3.709184646606445,75.32659912109375,570.8859252929688,58.97632598876953,70.64276123046875,569.9615478515625,19849183232.0,0.0,0.0,13.866554260253906,89.5003204345703,724.8209838867188,0.3217950165271759,0.09968341886997224,-0.1804071813821793,19633745920.0,1.0
17,1739.0,1215.0,19849183232.0,0.0,-3.709184646606445,75.32659912109375,570.8859252929688,58.97632598876953,70.64276123046875,569.9615478515625,19849183232.0,0.0,0.0,13.565116882324219,91.17700195312499,727.2197875976561,0.3324469327926636,0.08945923298597334,-0.17845647037029266,19633780736.0,1.0
